"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV13739","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV13740","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ASV13741","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV13742","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","UKL13-1"
"ASV13743","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV13744","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV13745","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA
"ASV13746","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"ASV13747","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV13748","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter"
"ASV13749","Bacteria","Planctomycetota","Pla4 lineage",NA,NA,NA
"ASV13750","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV13751","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","PBS-18",NA
"ASV13752","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",NA
"ASV13753","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13754","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta"
"ASV13755","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV13756","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"ASV13757","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV13758","Bacteria","NB1-j",NA,NA,NA,NA
"ASV13759","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae",NA
"ASV13760","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
"ASV13761","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV13762","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV13763","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV13764","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV13765","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus Alysiosphaera"
"ASV13766","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peregrinibacteria",NA,NA
"ASV13767","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"ASV13768","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV13769","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV13770","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV13771","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
"ASV13772","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV13773","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587"
"ASV13774","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV13775","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ASV13776","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV13777","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"ASV13778","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV13779","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV13780","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV13781","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Neo-b11"
"ASV13782","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV13783","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia"
"ASV13784","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV13785","Bacteria","Elusimicrobiota","Lineage IIa",NA,NA,NA
"ASV13786","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV13787","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV13788","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"ASV13789","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV13790","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV13791","Bacteria","Bacteroidota","Ignavibacteria","SJA-28",NA,NA
"ASV13792","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV13793","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ASV13794","Bacteria","Bacteroidota","Bacteroidia","SM1A07",NA,NA
"ASV13795","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV13796","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV13797","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV13798","Bacteria",NA,NA,NA,NA,NA
"ASV13799","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88",NA,NA
"ASV13800","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV13801","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium"
"ASV13802","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus Omnitrophus"
"ASV13803","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV13804","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","RBG-16-58-14"
"ASV13805","Bacteria","Cyanobacteria",NA,NA,NA,NA
"ASV13806","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ASV13807","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV13808","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"ASV13809","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae",NA
"ASV13810","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV13811","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"ASV13812","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"ASV13813","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter"
"ASV13814","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ASV13815","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV13816","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV13817","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV13818","Bacteria","Elusimicrobiota","Lineage IIb",NA,NA,NA
"ASV13819","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV13820","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV13821","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13822","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22",NA,NA
"ASV13823","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV13824","Bacteria",NA,NA,NA,NA,NA
"ASV13825","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA
"ASV13826","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV13827","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 8"
"ASV13828","Bacteria",NA,NA,NA,NA,NA
"ASV13829","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV13830","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus"
"ASV13831","Bacteria","Planctomycetota",NA,NA,NA,NA
"ASV13832","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae",NA
"ASV13833","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV13834","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"ASV13835","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV13836","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium"
"ASV13837","Bacteria","Planctomycetota","vadinHA49",NA,NA,NA
"ASV13838","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Rhizocola"
"ASV13839","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"ASV13840","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8",NA
"ASV13841","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"ASV13842","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV13843","Bacteria","Planctomycetota","Phycisphaerae","Pla1 lineage",NA,NA
"ASV13844","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV13845","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ASV13846","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV13847","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA
"ASV13848","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA
"ASV13849","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","GWC2-45-44",NA
"ASV13850","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13851","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV13852","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV13853","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21"
"ASV13854","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"ASV13855","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV13856","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"ASV13857","Bacteria","Planctomycetota","Pla4 lineage",NA,NA,NA
"ASV13858","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA
"ASV13859","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"ASV13860","Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalogenimonas"
"ASV13861","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir2 lineage"
"ASV13862","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV13863","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV13864","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13865","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Ahniella"
"ASV13866","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA
"ASV13867","Bacteria","Firmicutes","Bacilli","RF39",NA,NA
"ASV13868","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum"
"ASV13869","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV13870","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales",NA,NA
"ASV13871","Bacteria",NA,NA,NA,NA,NA
"ASV13872","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA
"ASV13873","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV13874","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV13875","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV13876","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV13877","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045"
"ASV13878","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 06"
"ASV13879","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV13880","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV13881","Bacteria",NA,NA,NA,NA,NA
"ASV13882","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA
"ASV13883","Bacteria","Elusimicrobiota","Elusimicrobia","MVP-88",NA,NA
"ASV13884","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV13885","Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA
"ASV13886","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV13887","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales",NA,NA
"ASV13888","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV13889","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13890","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV13891","Bacteria",NA,NA,NA,NA,NA
"ASV13892","Bacteria","Planctomycetota","Phycisphaerae","CCM11a",NA,NA
"ASV13893","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA
"ASV13894","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Nannocystis"
"ASV13895","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13896","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV13897","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV13898","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV13899","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae",NA
"ASV13900","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella"
"ASV13901","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV13902","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV13903","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV13904","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV13905","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA
"ASV13906","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA
"ASV13907","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA
"ASV13908","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV13909","Bacteria",NA,NA,NA,NA,NA
"ASV13910","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV13911","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13",NA
"ASV13912","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV13913","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA
"ASV13914","Bacteria",NA,NA,NA,NA,NA
"ASV13915","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13916","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV13917","Bacteria",NA,NA,NA,NA,NA
"ASV13918","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV13919","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13920","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","KD3-10"
"ASV13921","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV13922","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"ASV13923","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"ASV13924","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV13925","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",NA
"ASV13926","Bacteria","Cyanobacteria","Cyanobacteriia","Gloeobacterales","Gloeobacteraceae","Gloeobacter PCC-7421"
"ASV13927","Bacteria","FCPU426",NA,NA,NA,NA
"ASV13928","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA
"ASV13929","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV13930","Bacteria","Myxococcota","Myxococcia","Myxococcales",NA,NA
"ASV13931","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011_GWC1_47_15",NA
"ASV13932","Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA
"ASV13933","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV13934","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",NA
"ASV13935","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13936","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Coralloluteibacterium",NA
"ASV13937","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV13938","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"ASV13939","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV13940","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage"
"ASV13941","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV13942","Bacteria","Firmicutes","Bacilli","RF39",NA,NA
"ASV13943","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV13944","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinibacter"
"ASV13945","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41",NA,NA
"ASV13946","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ASV13947","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV008"
"ASV13948","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13949","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade"
"ASV13950","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV13951","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV13952","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV13953","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV13954","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae",NA
"ASV13955","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV13956","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA
"ASV13957","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV13958","Bacteria","Patescibacteria","CPR2",NA,NA,NA
"ASV13959","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13960","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV13961","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV13962","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA
"ASV13963","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA
"ASV13964","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV13965","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"ASV13966","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV13967","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13968","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV13969","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA
"ASV13970","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV13971","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV13972","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"ASV13973","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839",NA
"ASV13974","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV13975","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"ASV13976","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria",NA,NA
"ASV13977","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV13978","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"ASV13979","Bacteria","Acidobacteriota","Subgroup 22",NA,NA,NA
"ASV13980","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV13981","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA
"ASV13982","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA
"ASV13983","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"ASV13984","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV13985","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV13986","Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"ASV13987","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV13988","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","B1-7BS",NA
"ASV13989","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA
"ASV13990","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ASV13991","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV13992","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA
"ASV13993","Bacteria","Desulfobacterota","Desulfuromonadia","PB19",NA,NA
"ASV13994","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161",NA
"ASV13995","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV13996","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Alterococcus"
"ASV13997","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA
"ASV13998","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"ASV13999","Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA
"ASV14000","Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA
"ASV14001","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV14002","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV14003","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"ASV14004","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV14005","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA
"ASV14006","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04"
"ASV14007","Bacteria","Elusimicrobiota","Lineage IIb",NA,NA,NA
"ASV14008","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"ASV14009","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV14010","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"ASV14011","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV14012","Bacteria","Chloroflexi","JG30-KF-CM66",NA,NA,NA
"ASV14013","Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA
"ASV14014","Bacteria",NA,NA,NA,NA,NA
"ASV14015","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA
"ASV14016","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthya"
"ASV14017","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV14018","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV14019","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV14020","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"ASV14021","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV14022","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"ASV14023","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV14024","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV14025","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae",NA
"ASV14026","Bacteria","Verrucomicrobiota","Verrucomicrobiae","S-BQ2-57 soil group",NA,NA
